Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-14 13:52:00-04:00,113.79,113.82,113.73,113.76,174906,0,0
2020-09-14 13:53:00-04:00,113.75,113.79,113.7,113.78,150508,0,0
2020-09-14 13:54:00-04:00,113.79,113.84,113.77,113.79,132618,0,0
2020-09-14 13:55:00-04:00,113.78,113.87,113.77,113.79,163672,0,0
2020-09-14 13:56:00-04:00,113.79,113.81,113.66,113.69,176965,0,0
2020-09-14 13:57:00-04:00,113.68,113.79,113.68,113.75,123103,0,0
2020-09-14 13:58:00-04:00,113.75,113.77,113.68,113.71,131580,0,0
2020-09-14 13:59:00-04:00,113.71,113.81,113.7,113.72,148165,0,0
2020-09-14 14:00:00-04:00,113.72,113.73,113.52,113.54,219314,0,0
2020-09-14 14:01:00-04:00,113.53,113.62,113.43,113.45,252418,0,0
2020-09-14 14:02:00-04:00,113.48,113.64,113.45,113.58,171888,0,0
2020-09-14 14:03:00-04:00,113.57,113.66,113.55,113.59,137443,0,0
2020-09-14 14:04:00-04:00,113.59,113.75,113.59,113.74,139946,0,0
2020-09-14 14:05:00-04:00,113.74,113.9,113.7,113.88,253505,0,0
2020-09-14 14:06:00-04:00,113.88,114.0,113.83,114.0,304761,0,0
2020-09-14 14:07:00-04:00,113.99,114.08,113.91,114.07,342082,0,0
2020-09-14 14:08:00-04:00,114.07,114.18,114.03,114.07,349344,0,0
2020-09-14 14:09:00-04:00,114.05,114.12,113.98,114.07,268571,0,0
2020-09-14 14:10:00-04:00,114.08,114.12,114.01,114.05,219147,0,0
2020-09-14 14:11:00-04:00,114.06,114.29,114.05,114.29,381239,0,0
2020-09-14 14:12:00-04:00,114.29,114.34,114.18,114.32,289248,0,0
2020-09-14 14:13:00-04:00,114.33,114.42,114.3,114.36,253150,0,0
2020-09-14 14:14:00-04:00,114.36,114.44,114.29,114.39,239822,0,0
2020-09-14 14:15:00-04:00,114.4,114.49,114.3,114.44,356286,0,0
2020-09-14 14:16:00-04:00,114.43,114.45,114.32,114.39,213384,0,0
2020-09-14 14:17:00-04:00,114.39,114.49,114.33,114.44,266147,0,0
2020-09-14 14:18:00-04:00,114.43,114.49,114.26,114.27,280518,0,0
2020-09-14 14:19:00-04:00,114.26,114.29,114.13,114.2,404303,0,0
2020-09-14 14:20:00-04:00,114.21,114.29,114.18,114.26,278027,0,0
2020-09-14 14:21:00-04:00,114.26,114.3,114.17,114.17,237074,0,0
2020-09-14 14:22:00-04:00,114.19,114.42,114.18,114.37,341308,0,0
2020-09-14 14:23:00-04:00,114.37,114.4,114.32,114.36,151267,0,0
2020-09-14 14:24:00-04:00,114.36,114.37,114.29,114.32,145119,0,0
2020-09-14 14:25:00-04:00,114.32,114.32,114.01,114.04,270723,0,0
2020-09-14 14:26:00-04:00,114.05,114.18,114.04,114.11,267907,0,0
2020-09-14 14:27:00-04:00,114.13,114.18,114.02,114.07,203194,0,0
2020-09-14 14:28:00-04:00,114.07,114.1,113.96,114.03,271492,0,0
2020-09-14 14:29:00-04:00,114.04,114.06,113.86,113.94,274217,0,0
2020-09-14 14:30:00-04:00,113.95,114.05,113.94,113.96,205977,0,0
2020-09-14 14:31:00-04:00,113.99,114.14,113.96,114.13,220385,0,0
2020-09-14 14:32:00-04:00,114.14,114.24,114.12,114.17,235462,0,0
2020-09-14 14:33:00-04:00,114.18,114.29,114.11,114.21,177026,0,0
2020-09-14 14:34:00-04:00,114.21,114.29,114.11,114.17,181002,0,0
2020-09-14 14:35:00-04:00,114.18,114.23,114.07,114.09,197099,0,0
2020-09-14 14:36:00-04:00,114.1,114.2,114.1,114.16,120469,0,0
2020-09-14 14:37:00-04:00,114.16,114.2,114.12,114.15,135502,0,0
2020-09-14 14:38:00-04:00,114.14,114.18,114.11,114.18,87856,0,0
2020-09-14 14:39:00-04:00,114.18,114.23,114.14,114.17,185509,0,0
2020-09-14 14:40:00-04:00,114.18,114.28,114.12,114.24,250193,0,0
2020-09-14 14:41:00-04:00,114.24,114.34,113.94,113.98,345594,0,0
2020-09-14 14:42:00-04:00,113.98,114.11,113.94,114.03,237010,0,0
2020-09-14 14:43:00-04:00,114.01,114.24,113.97,114.21,210807,0,0
2020-09-14 14:44:00-04:00,114.22,114.3,114.21,114.22,190784,0,0
2020-09-14 14:45:00-04:00,114.24,114.27,114.11,114.13,237290,0,0
2020-09-14 14:46:00-04:00,114.14,114.25,114.13,114.21,133583,0,0
2020-09-14 14:47:00-04:00,114.22,114.35,114.21,114.34,186369,0,0
2020-09-14 14:48:00-04:00,114.34,114.36,114.22,114.28,275593,0,0
2020-09-14 14:49:00-04:00,114.28,114.32,114.18,114.31,218118,0,0
2020-09-14 14:50:00-04:00,114.3,114.43,114.24,114.41,254350,0,0
2020-09-14 14:51:00-04:00,114.42,114.59,114.37,114.57,303835,0,0
2020-09-14 14:52:00-04:00,114.56,114.59,114.48,114.57,205232,0,0
2020-09-14 14:53:00-04:00,114.56,114.61,114.52,114.54,240859,0,0
2020-09-14 14:54:00-04:00,114.53,114.54,114.26,114.29,310279,0,0
2020-09-14 14:55:00-04:00,114.29,114.32,113.98,114.09,402801,0,0
2020-09-14 14:56:00-04:00,114.1,114.26,114.07,114.14,273313,0,0
2020-09-14 14:57:00-04:00,114.14,114.3,114.13,114.29,257474,0,0
2020-09-14 14:58:00-04:00,114.29,114.34,114.2,114.34,288106,0,0
2020-09-14 14:59:00-04:00,114.34,114.49,114.34,114.44,263851,0,0
2020-09-14 15:00:00-04:00,114.45,114.5,114.26,114.37,284077,0,0
2020-09-14 15:01:00-04:00,114.37,114.43,114.31,114.4,127316,0,0
2020-09-14 15:02:00-04:00,114.42,114.45,114.3,114.41,149847,0,0
2020-09-14 15:03:00-04:00,114.41,114.41,114.26,114.31,165175,0,0
2020-09-14 15:04:00-04:00,114.31,114.34,114.2,114.32,184806,0,0
2020-09-14 15:05:00-04:00,114.33,114.47,114.27,114.37,255773,0,0
2020-09-14 15:06:00-04:00,114.36,114.51,114.33,114.41,173409,0,0
2020-09-14 15:07:00-04:00,114.42,114.46,114.28,114.39,193874,0,0
2020-09-14 15:08:00-04:00,114.4,114.43,114.3,114.42,151461,0,0
2020-09-14 15:09:00-04:00,114.42,114.54,114.4,114.45,262198,0,0
2020-09-14 15:10:00-04:00,114.45,114.46,114.36,114.39,228518,0,0
2020-09-14 15:11:00-04:00,114.39,114.47,114.34,114.42,171881,0,0
2020-09-14 15:12:00-04:00,114.42,114.5,114.32,114.47,199871,0,0
2020-09-14 15:13:00-04:00,114.46,114.52,114.4,114.4,234254,0,0
2020-09-14 15:14:00-04:00,114.4,114.53,114.39,114.5,235310,0,0
2020-09-14 15:15:00-04:00,114.5,114.51,114.43,114.46,182601,0,0
2020-09-14 15:16:00-04:00,114.46,114.51,114.44,114.48,275300,0,0
2020-09-14 15:17:00-04:00,114.47,114.59,114.44,114.58,321906,0,0
2020-09-14 15:18:00-04:00,114.58,114.86,114.57,114.81,579321,0,0
2020-09-14 15:19:00-04:00,114.82,114.85,114.72,114.8,265845,0,0
2020-09-14 15:20:00-04:00,114.81,114.82,114.7,114.73,239661,0,0
2020-09-14 15:21:00-04:00,114.73,114.77,114.56,114.59,238760,0,0
2020-09-14 15:22:00-04:00,114.6,114.65,114.45,114.47,263010,0,0
2020-09-14 15:23:00-04:00,114.47,114.49,114.26,114.37,285492,0,0
2020-09-14 15:24:00-04:00,114.36,114.41,114.27,114.3,263295,0,0
2020-09-14 15:25:00-04:00,114.31,114.46,114.26,114.31,305710,0,0
2020-09-14 15:26:00-04:00,114.31,114.39,114.24,114.38,322108,0,0
2020-09-14 15:27:00-04:00,114.37,114.62,114.36,114.61,341620,0,0
2020-09-14 15:28:00-04:00,114.61,114.66,114.55,114.58,275577,0,0
2020-09-14 15:29:00-04:00,114.57,114.62,114.51,114.57,187195,0,0
2020-09-14 15:30:00-04:00,114.55,114.75,114.53,114.75,268339,0,0
2020-09-14 15:31:00-04:00,114.74,114.76,114.65,114.68,198639,0,0
2020-09-14 15:32:00-04:00,114.69,114.81,114.68,114.78,265118,0,0
2020-09-14 15:33:00-04:00,114.79,114.83,114.71,114.76,245689,0,0
2020-09-14 15:34:00-04:00,114.75,114.95,114.71,114.93,355097,0,0
2020-09-14 15:35:00-04:00,114.94,115.0,114.84,114.98,395888,0,0
2020-09-14 15:36:00-04:00,114.97,115.0,114.93,114.96,429268,0,0
2020-09-14 15:37:00-04:00,114.95,115.17,114.94,115.17,693452,0,0
2020-09-14 15:38:00-04:00,115.18,115.25,115.11,115.25,578200,0,0
2020-09-14 15:39:00-04:00,115.25,115.28,115.13,115.19,344541,0,0
2020-09-14 15:40:00-04:00,115.19,115.38,115.17,115.38,472044,0,0
2020-09-14 15:41:00-04:00,115.38,115.4,115.26,115.35,401713,0,0
2020-09-14 15:42:00-04:00,115.35,115.54,115.29,115.5,681953,0,0
2020-09-14 15:43:00-04:00,115.5,115.53,115.41,115.5,421954,0,0
2020-09-14 15:44:00-04:00,115.5,115.69,115.49,115.66,616916,0,0
2020-09-14 15:45:00-04:00,115.67,115.71,115.54,115.61,556157,0,0
2020-09-14 15:46:00-04:00,115.61,115.63,115.38,115.53,620979,0,0
2020-09-14 15:47:00-04:00,115.51,115.68,115.42,115.66,481965,0,0
2020-09-14 15:48:00-04:00,115.66,115.89,115.65,115.76,1026442,0,0
2020-09-14 15:49:00-04:00,115.75,115.93,115.75,115.87,530039,0,0
2020-09-14 15:50:00-04:00,115.87,115.88,115.44,115.64,794005,0,0
2020-09-14 15:51:00-04:00,115.66,115.69,115.48,115.54,399296,0,0
2020-09-14 15:52:00-04:00,115.53,115.6,115.4,115.57,539072,0,0
2020-09-14 15:53:00-04:00,115.58,115.61,115.35,115.46,458917,0,0
2020-09-14 15:54:00-04:00,115.46,115.57,115.38,115.47,643722,0,0
2020-09-14 15:55:00-04:00,115.47,115.59,115.41,115.46,738116,0,0
2020-09-14 15:56:00-04:00,115.46,115.51,115.26,115.42,535845,0,0
2020-09-14 15:57:00-04:00,115.42,115.47,115.3,115.39,454017,0,0
2020-09-14 15:58:00-04:00,115.39,115.55,115.3,115.53,568345,0,0
2020-09-14 15:59:00-04:00,115.54,115.6,115.17,115.36,1247636,0,0
2020-09-15 09:30:00-04:00,118.33,118.83,117.75,117.79,7464089,0,0
2020-09-15 09:31:00-04:00,117.79,118.02,117.57,117.75,1000341,0,0
2020-09-15 09:32:00-04:00,117.74,118.05,117.45,117.99,999883,0,0
2020-09-15 09:33:00-04:00,117.99,118.08,117.46,117.99,944487,0,0
2020-09-15 09:34:00-04:00,117.69,117.99,117.62,117.83,610321,0,0
2020-09-15 09:35:00-04:00,117.57,117.89,117.43,117.63,755357,0,0
2020-09-15 09:36:00-04:00,117.64,117.98,117.5,117.78,557133,0,0
2020-09-15 09:37:00-04:00,117.77,117.98,117.65,117.85,638692,0,0
2020-09-15 09:38:00-04:00,117.63,117.92,117.58,117.67,612957,0,0
2020-09-15 09:39:00-04:00,117.65,117.8,117.62,117.79,473884,0,0
2020-09-15 09:40:00-04:00,117.79,117.84,117.45,117.54,715763,0,0
2020-09-15 09:41:00-04:00,117.24,117.59,117.23,117.43,689361,0,0
2020-09-15 09:42:00-04:00,117.41,117.5,117.31,117.39,503190,0,0
2020-09-15 09:43:00-04:00,117.39,117.63,117.37,117.55,595019,0,0
2020-09-15 09:44:00-04:00,117.56,117.64,117.44,117.47,447138,0,0
2020-09-15 09:45:00-04:00,117.35,117.53,117.26,117.38,529881,0,0
2020-09-15 09:46:00-04:00,117.38,117.63,117.38,117.57,667283,0,0
2020-09-15 09:47:00-04:00,117.58,117.97,117.57,117.88,861260,0,0
2020-09-15 09:48:00-04:00,117.96,118.07,117.89,118.01,826433,0,0
2020-09-15 09:49:00-04:00,118.06,118.15,117.96,117.97,722481,0,0
2020-09-15 09:50:00-04:00,117.97,118.14,117.85,117.87,581141,0,0
2020-09-15 09:51:00-04:00,117.85,118.03,117.78,117.89,582518,0,0
2020-09-15 09:52:00-04:00,117.94,118.05,117.9,117.96,511647,0,0
2020-09-15 09:53:00-04:00,118.02,118.09,117.94,118.03,442511,0,0
2020-09-15 09:54:00-04:00,118.06,118.19,118.03,118.14,535377,0,0
2020-09-15 09:55:00-04:00,118.28,118.29,118.13,118.24,592751,0,0
2020-09-15 09:56:00-04:00,118.25,118.25,117.87,118.03,597255,0,0
2020-09-15 09:57:00-04:00,118.05,118.06,117.82,117.89,481699,0,0
2020-09-15 09:58:00-04:00,117.88,118.03,117.87,117.89,391623,0,0
2020-09-15 09:59:00-04:00,117.98,118.06,117.89,118.04,306591,0,0
2020-09-15 10:00:00-04:00,118.04,118.08,117.83,117.91,452906,0,0
2020-09-15 10:01:00-04:00,117.9,118.0,117.82,117.93,320033,0,0
2020-09-15 10:02:00-04:00,117.92,117.95,117.72,117.76,359430,0,0
2020-09-15 10:03:00-04:00,117.77,117.86,117.73,117.77,346725,0,0
2020-09-15 10:04:00-04:00,117.77,117.87,117.68,117.69,347380,0,0
2020-09-15 10:05:00-04:00,117.68,117.75,117.45,117.45,768852,0,0
2020-09-15 10:06:00-04:00,117.45,117.5,117.36,117.49,451624,0,0
